date,jour_semaine,mois,heure,est_jour_ferie,est_weekend,est_vacances_scolaires,frequentation
2024-01-07,dimanche,1,19,0,1,0,51474
2024-01-07,dimanche,1,20,0,1,0,51467
2024-01-07,dimanche,1,21,0,1,0,6025
2024-01-07,dimanche,1,22,0,1,0,4947
2024-01-07,dimanche,1,23,0,1,0,3891
2024-01-08,lundi,1,5,0,0,0,19069
2024-01-08,lundi,1,6,0,0,0,16084
2024-01-08,lundi,1,7,0,0,0,94005
2024-01-08,lundi,1,8,0,0,0,151559
2024-01-08,lundi,1,9,0,0,0,98776
2024-01-08,lundi,1,10,0,0,0,34047
2024-01-08,lundi,1,11,0,0,0,41381
2024-01-08,lundi,1,12,0,0,0,54895
2024-01-08,lundi,1,13,0,0,0,61407
2024-01-08,lundi,1,14,0,0,0,44360
2024-01-08,lundi,1,15,0,0,0,46415
2024-01-08,lundi,1,16,0,0,0,36769
2024-01-08,lundi,1,17,0,0,0,107840
2024-01-08,lundi,1,18,0,0,0,86874
2024-01-08,lundi,1,19,0,0,0,130155
2024-01-08,lundi,1,20,0,0,0,118811
2024-01-08,lundi,1,21,0,0,0,19929
2024-01-08,lundi,1,22,0,0,0,11294
2024-01-08,lundi,1,23,0,0,0,11311
2024-01-09,mardi,1,5,0,0,0,28857
2024-01-09,mardi,1,6,0,0,0,13326
2024-01-09,mardi,1,7,0,0,0,88634
2024-01-09,mardi,1,8,0,0,0,142451
2024-01-09,mardi,1,9,0,0,0,107159
2024-01-09,mardi,1,10,0,0,0,30188
2024-01-09,mardi,1,11,0,0,0,57474
2024-01-09,mardi,1,12,0,0,0,44039
2024-01-09,mardi,1,13,0,0,0,62248
2024-01-09,mardi,1,14,0,0,0,40332
2024-01-09,mardi,1,15,0,0,0,56775
2024-01-09,mardi,1,16,0,0,0,29292
2024-01-09,mardi,1,17,0,0,0,116842
2024-01-09,mardi,1,18,0,0,0,92244
2024-01-09,mardi,1,19,0,0,0,92564
2024-01-09,mardi,1,20,0,0,0,118968
2024-01-09,mardi,1,21,0,0,0,23216
2024-01-09,mardi,1,22,0,0,0,14117
2024-01-09,mardi,1,23,0,0,0,13797
2024-01-10,mercredi,1,5,0,0,0,26367
2024-01-10,mercredi,1,6,0,0,0,15171
2024-01-10,mercredi,1,7,0,0,0,113928
2024-01-10,mercredi,1,8,0,0,0,109107
2024-01-10,mercredi,1,9,0,0,0,108209
2024-01-10,mercredi,1,10,0,0,0,51998
2024-01-10,mercredi,1,11,0,0,0,52900
2024-01-10,mercredi,1,12,0,0,0,73387
2024-01-10,mercredi,1,13,0,0,0,69805
2024-01-10,mercredi,1,14,0,0,0,36452
2024-01-10,mercredi,1,15,0,0,0,42928
2024-01-10,mercredi,1,16,0,0,0,49418
2024-01-10,mercredi,1,17,0,0,0,91824
2024-01-10,mercredi,1,18,0,0,0,96609
2024-01-10,mercredi,1,19,0,0,0,76524
2024-01-10,mercredi,1,20,0,0,0,118360
2024-01-10,mercredi,1,21,0,0,0,15965
2024-01-10,mercredi,1,22,0,0,0,18637
2024-01-10,mercredi,1,23,0,0,0,10356
2024-01-11,jeudi,1,5,0,0,0,24204
2024-01-11,jeudi,1,6,0,0,0,12288
2024-01-11,jeudi,1,7,0,0,0,124200
2024-01-11,jeudi,1,8,0,0,0,113466
2024-01-11,jeudi,1,9,0,0,0,105482
2024-01-11,jeudi,1,10,0,0,0,58406
2024-01-11,jeudi,1,11,0,0,0,46270
2024-01-11,jeudi,1,12,0,0,0,64675
2024-01-11,jeudi,1,13,0,0,0,62022
2024-01-11,jeudi,1,14,0,0,0,45174
2024-01-11,jeudi,1,15,0,0,0,53636
2024-01-11,jeudi,1,16,0,0,0,32702
2024-01-11,jeudi,1,17,0,0,0,115523
2024-01-11,jeudi,1,18,0,0,0,141813
2024-01-11,jeudi,1,19,0,0,0,85315
2024-01-11,jeudi,1,20,0,0,0,76802
2024-01-11,jeudi,1,21,0,0,0,15836
2024-01-11,jeudi,1,22,0,0,0,18229
2024-01-11,jeudi,1,23,0,0,0,12491
2024-01-12,vendredi,1,5,0,0,0,22851
2024-01-12,vendredi,1,6,0,0,0,22366
2024-01-12,vendredi,1,7,0,0,0,140669
2024-01-12,vendredi,1,8,0,0,0,114158
2024-01-12,vendredi,1,9,0,0,0,132066
2024-01-12,vendredi,1,10,0,0,0,60219
2024-01-12,vendredi,1,11,0,0,0,30494
2024-01-12,vendredi,1,12,0,0,0,79091
2024-01-12,vendredi,1,13,0,0,0,61381
2024-01-12,vendredi,1,14,0,0,0,41182
2024-01-12,vendredi,1,15,0,0,0,55370
2024-01-12,vendredi,1,16,0,0,0,48364
2024-01-12,vendredi,1,17,0,0,0,82707
2024-01-12,vendredi,1,18,0,0,0,89653
2024-01-12,vendredi,1,19,0,0,0,109641
2024-01-12,vendredi,1,20,0,0,0,129111
2024-01-12,vendredi,1,21,0,0,0,15044
2024-01-12,vendredi,1,22,0,0,0,16037
2024-01-12,vendredi,1,23,0,0,0,9790
2024-01-13,samedi,1,5,0,1,0,14543
2024-01-13,samedi,1,6,0,1,0,9031
2024-01-13,samedi,1,7,0,1,0,81966
2024-01-13,samedi,1,8,0,1,0,73361
2024-01-13,samedi,1,9,0,1,0,76944
2024-01-13,samedi,1,10,0,1,0,27254
2024-01-13,samedi,1,11,0,1,0,18089
2024-01-13,samedi,1,12,0,1,0,41670
2024-01-13,samedi,1,13,0,1,0,46424
2024-01-13,samedi,1,14,0,1,0,29211
2024-01-13,samedi,1,15,0,1,0,23958
2024-01-13,samedi,1,16,0,1,0,34707
2024-01-13,samedi,1,17,0,1,0,84222
2024-01-13,samedi,1,18,0,1,0,83886
2024-01-13,samedi,1,19,0,1,0,92928
2024-01-13,samedi,1,20,0,1,0,64062
2024-01-13,samedi,1,21,0,1,0,7338
2024-01-13,samedi,1,22,0,1,0,11621
2024-01-13,samedi,1,23,0,1,0,8858
2024-01-14,dimanche,1,5,0,1,0,9918
2024-01-14,dimanche,1,6,0,1,0,6716
2024-01-14,dimanche,1,7,0,1,0,57518
2024-01-14,dimanche,1,8,0,1,0,57110
2024-01-14,dimanche,1,9,0,1,0,34150
2024-01-14,dimanche,1,10,0,1,0,16152
2024-01-14,dimanche,1,11,0,1,0,15937
2024-01-14,dimanche,1,12,0,1,0,19667
2024-01-14,dimanche,1,13,0,1,0,27193
2024-01-14,dimanche,1,14,0,1,0,21281
2024-01-14,dimanche,1,15,0,1,0,15175
2024-01-14,dimanche,1,16,0,1,0,22837
2024-01-14,dimanche,1,17,0,1,0,48378
2024-01-14,dimanche,1,18,0,1,0,55324
2024-01-14,dimanche,1,19,0,1,0,34631
2024-01-14,dimanche,1,20,0,1,0,44238
2024-01-14,dimanche,1,21,0,1,0,5578
2024-01-14,dimanche,1,22,0,1,0,8166
2024-01-14,dimanche,1,23,0,1,0,7597
2024-01-15,lundi,1,5,0,0,0,17157
2024-01-15,lundi,1,6,0,0,0,15853
2024-01-15,lundi,1,7,0,0,0,127199
2024-01-15,lundi,1,8,0,0,0,92127
2024-01-15,lundi,1,9,0,0,0,92386
2024-01-15,lundi,1,10,0,0,0,44777
2024-01-15,lundi,1,11,0,0,0,57862
2024-01-15,lundi,1,12,0,0,0,66789
2024-01-15,lundi,1,13,0,0,0,78144
2024-01-15,lundi,1,14,0,0,0,47869
2024-01-15,lundi,1,15,0,0,0,52236
2024-01-15,lundi,1,16,0,0,0,41000
2024-01-15,lundi,1,17,0,0,0,106792
2024-01-15,lundi,1,18,0,0,0,98887
2024-01-15,lundi,1,19,0,0,0,85926
2024-01-15,lundi,1,20,0,0,0,109621
2024-01-15,lundi,1,21,0,0,0,15527
2024-01-15,lundi,1,22,0,0,0,21554
2024-01-15,lundi,1,23,0,0,0,14683
2024-01-16,mardi,1,5,0,0,0,23231
2024-01-16,mardi,1,6,0,0,0,19803
2024-01-16,mardi,1,7,0,0,0,147566
2024-01-16,mardi,1,8,0,0,0,139479
2024-01-16,mardi,1,9,0,0,0,90262
2024-01-16,mardi,1,10,0,0,0,60453
2024-01-16,mardi,1,11,0,0,0,34093
2024-01-16,mardi,1,12,0,0,0,43695
2024-01-16,mardi,1,13,0,0,0,65516
2024-01-16,mardi,1,14,0,0,0,52682
2024-01-16,mardi,1,15,0,0,0,37873
2024-01-16,mardi,1,16,0,0,0,40876
2024-01-16,mardi,1,17,0,0,0,89885
2024-01-16,mardi,1,18,0,0,0,119549
2024-01-16,mardi,1,19,0,0,0,134297
2024-01-16,mardi,1,20,0,0,0,91094
2024-01-16,mardi,1,21,0,0,0,20077
2024-01-16,mardi,1,22,0,0,0,11723
2024-01-16,mardi,1,23,0,0,0,14705
2024-01-17,mercredi,1,5,0,0,0,20696
2024-01-17,mercredi,1,6,0,0,0,25044
2024-01-17,mercredi,1,7,0,0,0,130031
2024-01-17,mercredi,1,8,0,0,0,122683
2024-01-17,mercredi,1,9,0,0,0,148236
2024-01-17,mercredi,1,10,0,0,0,51446
2024-01-17,mercredi,1,11,0,0,0,56160
2024-01-17,mercredi,1,12,0,0,0,60111
2024-01-17,mercredi,1,13,0,0,0,46941
2024-01-17,mercredi,1,14,0,0,0,27977
2024-01-17,mercredi,1,15,0,0,0,47225
2024-01-17,mercredi,1,16,0,0,0,48661
2024-01-17,mercredi,1,17,0,0,0,90649
2024-01-17,mercredi,1,18,0,0,0,110375
2024-01-17,mercredi,1,19,0,0,0,106806
2024-01-17,mercredi,1,20,0,0,0,79649
2024-01-17,mercredi,1,21,0,0,0,22139
2024-01-17,mercredi,1,22,0,0,0,17342
2024-01-17,mercredi,1,23,0,0,0,14615
2024-01-18,jeudi,1,5,0,0,0,18151
2024-01-18,jeudi,1,6,0,0,0,12137
2024-01-18,jeudi,1,7,0,0,0,97384
2024-01-18,jeudi,1,8,0,0,0,127271
2024-01-18,jeudi,1,9,0,0,0,113352
2024-01-18,jeudi,1,10,0,0,0,44070
2024-01-18,jeudi,1,11,0,0,0,50109
2024-01-18,jeudi,1,12,0,0,0,54644
2024-01-18,jeudi,1,13,0,0,0,66126
2024-01-18,jeudi,1,14,0,0,0,52624
2024-01-18,jeudi,1,15,0,0,0,33929
2024-01-18,jeudi,1,16,0,0,0,45579
2024-01-18,jeudi,1,17,0,0,0,88668
2024-01-18,jeudi,1,18,0,0,0,117946
2024-01-18,jeudi,1,19,0,0,0,124360
2024-01-18,jeudi,1,20,0,0,0,97126
2024-01-18,jeudi,1,21,0,0,0,22509
2024-01-18,jeudi,1,22,0,0,0,15116
2024-01-18,jeudi,1,23,0,0,0,19121
2024-01-19,vendredi,1,5,0,0,0,21787
2024-01-19,vendredi,1,6,0,0,0,17632
2024-01-19,vendredi,1,7,0,0,0,112897
2024-01-19,vendredi,1,8,0,0,0,95687
2024-01-19,vendredi,1,9,0,0,0,143296
2024-01-19,vendredi,1,10,0,0,0,47997
2024-01-19,vendredi,1,11,0,0,0,35567
2024-01-19,vendredi,1,12,0,0,0,73986
2024-01-19,vendredi,1,13,0,0,0,66930
2024-01-19,vendredi,1,14,0,0,0,39261
2024-01-19,vendredi,1,15,0,0,0,51975
2024-01-19,vendredi,1,16,0,0,0,38909
2024-01-19,vendredi,1,17,0,0,0,86488
2024-01-19,vendredi,1,18,0,0,0,141743
2024-01-19,vendredi,1,19,0,0,0,125255
2024-01-19,vendredi,1,20,0,0,0,103171
2024-01-19,vendredi,1,21,0,0,0,12159
2024-01-19,vendredi,1,22,0,0,0,15330
2024-01-19,vendredi,1,23,0,0,0,15069
2024-01-20,samedi,1,5,0,1,0,10492
2024-01-20,samedi,1,6,0,1,0,15209
2024-01-20,samedi,1,7,0,1,0,72034
2024-01-20,samedi,1,8,0,1,0,66194
2024-01-20,samedi,1,9,0,1,0,71205
2024-01-20,samedi,1,10,0,1,0,29245
2024-01-20,samedi,1,11,0,1,0,27004
2024-01-20,samedi,1,12,0,1,0,32438
2024-01-20,samedi,1,13,0,1,0,39852
2024-01-20,samedi,1,14,0,1,0,34010
2024-01-20,samedi,1,15,0,1,0,34438
2024-01-20,samedi,1,16,0,1,0,27459
2024-01-20,samedi,1,17,0,1,0,63839
2024-01-20,samedi,1,18,0,1,0,79234
2024-01-20,samedi,1,19,0,1,0,71042
2024-01-20,samedi,1,20,0,1,0,74745
2024-01-20,samedi,1,21,0,1,0,10462
2024-01-20,samedi,1,22,0,1,0,10877
2024-01-20,samedi,1,23,0,1,0,13843
2024-01-21,dimanche,1,5,0,1,0,11166
2024-01-21,dimanche,1,6,0,1,0,5650
2024-01-21,dimanche,1,7,0,1,0,39464
2024-01-21,dimanche,1,8,0,1,0,40587
2024-01-21,dimanche,1,9,0,1,0,35981
2024-01-21,dimanche,1,10,0,1,0,16562
2024-01-21,dimanche,1,11,0,1,0,15343
2024-01-21,dimanche,1,12,0,1,0,26911
2024-01-21,dimanche,1,13,0,1,0,19078
2024-01-21,dimanche,1,14,0,1,0,14375
2024-01-21,dimanche,1,15,0,1,0,19503
2024-01-21,dimanche,1,16,0,1,0,12866
2024-01-21,dimanche,1,17,0,1,0,49320
2024-01-21,dimanche,1,18,0,1,0,45669
2024-01-21,dimanche,1,19,0,1,0,37655
2024-01-21,dimanche,1,20,0,1,0,33377
2024-01-21,dimanche,1,21,0,1,0,4900
2024-01-21,dimanche,1,22,0,1,0,6318
2024-01-21,dimanche,1,23,0,1,0,6262
2024-01-22,lundi,1,5,0,0,0,24567
2024-01-22,lundi,1,6,0,0,0,21362
2024-01-22,lundi,1,7,0,0,0,124810
2024-01-22,lundi,1,8,0,0,0,124097
2024-01-22,lundi,1,9,0,0,0,102884
2024-01-22,lundi,1,10,0,0,0,51380
2024-01-22,lundi,1,11,0,0,0,30564
2024-01-22,lundi,1,12,0,0,0,69975
2024-01-22,lundi,1,13,0,0,0,45569
2024-01-22,lundi,1,14,0,0,0,44865
2024-01-22,lundi,1,15,0,0,0,36006
2024-01-22,lundi,1,16,0,0,0,45345
2024-01-22,lundi,1,17,0,0,0,78161
2024-01-22,lundi,1,18,0,0,0,119546
2024-01-22,lundi,1,19,0,0,0,86622
2024-01-22,lundi,1,20,0,0,0,119734
2024-01-22,lundi,1,21,0,0,0,17078
2024-01-22,lundi,1,22,0,0,0,15539
2024-01-22,lundi,1,23,0,0,0,16560
2024-01-23,mardi,1,5,0,0,0,23471
2024-01-23,mardi,1,6,0,0,0,18853
2024-01-23,mardi,1,7,0,0,0,87672
2024-01-23,mardi,1,8,0,0,0,118847
2024-01-23,mardi,1,9,0,0,0,142022
2024-01-23,mardi,1,10,0,0,0,41939
2024-01-23,mardi,1,11,0,0,0,47574
2024-01-23,mardi,1,12,0,0,0,58440
2024-01-23,mardi,1,13,0,0,0,68174
2024-01-23,mardi,1,14,0,0,0,33203
2024-01-23,mardi,1,15,0,0,0,37840
2024-01-23,mardi,1,16,0,0,0,40628
2024-01-23,mardi,1,17,0,0,0,113214
2024-01-23,mardi,1,18,0,0,0,127041
2024-01-23,mardi,1,19,0,0,0,100936
2024-01-23,mardi,1,20,0,0,0,81292
2024-01-23,mardi,1,21,0,0,0,22557
2024-01-23,mardi,1,22,0,0,0,11996
2024-01-23,mardi,1,23,0,0,0,10518
2024-01-24,mercredi,1,5,0,0,0,24775
2024-01-24,mercredi,1,6,0,0,0,15029
2024-01-24,mercredi,1,7,0,0,0,110664
2024-01-24,mercredi,1,8,0,0,0,129654
2024-01-24,mercredi,1,9,0,0,0,148604
2024-01-24,mercredi,1,10,0,0,0,46781
2024-01-24,mercredi,1,11,0,0,0,32372
2024-01-24,mercredi,1,12,0,0,0,48973
2024-01-24,mercredi,1,13,0,0,0,50583
2024-01-24,mercredi,1,14,0,0,0,36527
2024-01-24,mercredi,1,15,0,0,0,37596
2024-01-24,mercredi,1,16,0,0,0,41135
2024-01-24,mercredi,1,17,0,0,0,107824
2024-01-24,mercredi,1,18,0,0,0,98305
2024-01-24,mercredi,1,19,0,0,0,106066
2024-01-24,mercredi,1,20,0,0,0,137247
2024-01-24,mercredi,1,21,0,0,0,10636
2024-01-24,mercredi,1,22,0,0,0,12082
2024-01-24,mercredi,1,23,0,0,0,20510
2024-01-25,jeudi,1,5,0,0,0,27059
2024-01-25,jeudi,1,6,0,0,0,19660
2024-01-25,jeudi,1,7,0,0,0,115323
2024-01-25,jeudi,1,8,0,0,0,97068
2024-01-25,jeudi,1,9,0,0,0,128272
2024-01-25,jeudi,1,10,0,0,0,52683
2024-01-25,jeudi,1,11,0,0,0,31202
2024-01-25,jeudi,1,12,0,0,0,54476
2024-01-25,jeudi,1,13,0,0,0,69081
2024-01-25,jeudi,1,14,0,0,0,47355
2024-01-25,jeudi,1,15,0,0,0,50394
2024-01-25,jeudi,1,16,0,0,0,55495
2024-01-25,jeudi,1,17,0,0,0,117921
2024-01-25,jeudi,1,18,0,0,0,130476
2024-01-25,jeudi,1,19,0,0,0,113086
2024-01-25,jeudi,1,20,0,0,0,123208
2024-01-25,jeudi,1,21,0,0,0,14469
2024-01-25,jeudi,1,22,0,0,0,21845
2024-01-25,jeudi,1,23,0,0,0,10985
2024-01-26,vendredi,1,5,0,0,0,24377
2024-01-26,vendredi,1,6,0,0,0,28407
2024-01-26,vendredi,1,7,0,0,0,101376
2024-01-26,vendredi,1,8,0,0,0,134458
2024-01-26,vendredi,1,9,0,0,0,106562
2024-01-26,vendredi,1,10,0,0,0,34524
2024-01-26,vendredi,1,11,0,0,0,48638
2024-01-26,vendredi,1,12,0,0,0,58161
2024-01-26,vendredi,1,13,0,0,0,51598
2024-01-26,vendredi,1,14,0,0,0,43606
2024-01-26,vendredi,1,15,0,0,0,41026
2024-01-26,vendredi,1,16,0,0,0,28426
2024-01-26,vendredi,1,17,0,0,0,101608
2024-01-26,vendredi,1,18,0,0,0,85765
2024-01-26,vendredi,1,19,0,0,0,134305
2024-01-26,vendredi,1,20,0,0,0,118881
2024-01-26,vendredi,1,21,0,0,0,12205
2024-01-26,vendredi,1,22,0,0,0,19897
2024-01-26,vendredi,1,23,0,0,0,8694
2024-01-27,samedi,1,5,0,1,0,13695
2024-01-27,samedi,1,6,0,1,0,11795
2024-01-27,samedi,1,7,0,1,0,82574
2024-01-27,samedi,1,8,0,1,0,67621
2024-01-27,samedi,1,9,0,1,0,64768
2024-01-27,samedi,1,10,0,1,0,38633
2024-01-27,samedi,1,11,0,1,0,18666
2024-01-27,samedi,1,12,0,1,0,48149
2024-01-27,samedi,1,13,0,1,0,30105
2024-01-27,samedi,1,14,0,1,0,23986
2024-01-27,samedi,1,15,0,1,0,20211
2024-01-27,samedi,1,16,0,1,0,24954
2024-01-27,samedi,1,17,0,1,0,73555
2024-01-27,samedi,1,18,0,1,0,57409
2024-01-27,samedi,1,19,0,1,0,95970
2024-01-27,samedi,1,20,0,1,0,56492
2024-01-27,samedi,1,21,0,1,0,14499
2024-01-27,samedi,1,22,0,1,0,10726
2024-01-27,samedi,1,23,0,1,0,12693
2024-01-28,dimanche,1,5,0,1,0,10260
2024-01-28,dimanche,1,6,0,1,0,10258
2024-01-28,dimanche,1,7,0,1,0,52457
2024-01-28,dimanche,1,8,0,1,0,56471
2024-01-28,dimanche,1,9,0,1,0,47791
2024-01-28,dimanche,1,10,0,1,0,18307
2024-01-28,dimanche,1,11,0,1,0,14112
2024-01-28,dimanche,1,12,0,1,0,22579
2024-01-28,dimanche,1,13,0,1,0,26552
2024-01-28,dimanche,1,14,0,1,0,21055
2024-01-28,dimanche,1,15,0,1,0,15046
2024-01-28,dimanche,1,16,0,1,0,21471
2024-01-28,dimanche,1,17,0,1,0,54069
2024-01-28,dimanche,1,18,0,1,0,46046
2024-01-28,dimanche,1,19,0,1,0,42405
2024-01-28,dimanche,1,20,0,1,0,40880
2024-01-28,dimanche,1,21,0,1,0,8088
2024-01-28,dimanche,1,22,0,1,0,6378
2024-01-28,dimanche,1,23,0,1,0,6147
2024-01-29,lundi,1,5,0,0,0,26031
2024-01-29,lundi,1,6,0,0,0,17168
2024-01-29,lundi,1,7,0,0,0,143585
2024-01-29,lundi,1,8,0,0,0,115667
2024-01-29,lundi,1,9,0,0,0,102174
2024-01-29,lundi,1,10,0,0,0,40570
2024-01-29,lundi,1,11,0,0,0,49677
2024-01-29,lundi,1,12,0,0,0,71009
2024-01-29,lundi,1,13,0,0,0,66478
2024-01-29,lundi,1,14,0,0,0,51510
2024-01-29,lundi,1,15,0,0,0,41079
2024-01-29,lundi,1,16,0,0,0,35493
2024-01-29,lundi,1,17,0,0,0,104580
2024-01-29,lundi,1,18,0,0,0,130346
2024-01-29,lundi,1,19,0,0,0,127069
2024-01-29,lundi,1,20,0,0,0,85059
2024-01-29,lundi,1,21,0,0,0,21559
2024-01-29,lundi,1,22,0,0,0,13239
2024-01-29,lundi,1,23,0,0,0,16187
2024-01-30,mardi,1,5,0,0,0,18745
2024-01-30,mardi,1,6,0,0,0,13431
2024-01-30,mardi,1,7,0,0,0,101712
2024-01-30,mardi,1,8,0,0,0,103984
2024-01-30,mardi,1,9,0,0,0,107757
2024-01-30,mardi,1,10,0,0,0,45964
2024-01-30,mardi,1,11,0,0,0,56509
2024-01-30,mardi,1,12,0,0,0,70420
2024-01-30,mardi,1,13,0,0,0,54919
2024-01-30,mardi,1,14,0,0,0,30832
2024-01-30,mardi,1,15,0,0,0,50605
2024-01-30,mardi,1,16,0,0,0,46361
2024-01-30,mardi,1,17,0,0,0,131650
2024-01-30,mardi,1,18,0,0,0,83672
2024-01-30,mardi,1,19,0,0,0,138266
